Resolution,BC_a,BC_b,BC_c,BC_d,L2_Error,PDE_Error_Pred,PDE_Error_True
1x,-0.5,0.5,0.0,0.0,1.7126825696323067e-05,0.1902054101228714,0.19020332396030426
1x,-0.5,0.5,0.0,0.0,2.4744949769228697e-05,0.1902039796113968,0.19020314514636993
1x,-0.5,0.5,0.0,0.0,3.8496167690027505e-05,0.19020001590251923,0.19020232558250427
1x,-0.5,0.5,0.0,0.0,1.373678333038697e-05,0.19020012021064758,0.1901998072862625
1x,-0.5,0.5,0.0,0.0,2.125481296388898e-05,0.19021078944206238,0.19020572304725647
1x,-0.5,0.5,0.0,0.0,1.783090556273237e-05,0.1902124285697937,0.19020304083824158
1x,-0.5,0.5,0.0,0.0,2.5079545594053343e-05,0.19019927084445953,0.1902027577161789
1x,-0.5,0.5,0.0,0.0,2.8235443096491508e-05,0.19020460546016693,0.19020308554172516
1x,-0.5,0.5,0.0,0.0,1.1641616765700746e-05,0.19020238518714905,0.19020205736160278
2x,-0.5,0.5,0.0,0.0,1.9478777176118456e-05,0.18317537009716034,0.18316903710365295
2x,-0.5,0.5,0.0,0.0,3.946353172068484e-05,0.18316863477230072,0.18316984176635742
2x,-0.5,0.5,0.0,0.0,1.365048319712514e-05,0.18316905200481415,0.18316975235939026
2x,-0.5,0.5,0.0,0.0,1.9870576579705812e-05,0.1831691414117813,0.18317045271396637
2x,-0.5,0.5,0.0,0.0,1.4523155186907388e-05,0.18316544592380524,0.18317152559757233
2x,-0.5,0.5,0.0,0.0,1.396673087583622e-05,0.18316923081874847,0.1831696331501007
2x,-0.5,0.5,0.0,0.0,1.479168076912174e-05,0.18316751718521118,0.18317127227783203
2x,-0.5,0.5,0.0,0.0,4.7828452807152644e-05,0.18317674100399017,0.1831706464290619
2x,-0.5,0.5,0.0,0.0,0.00018704443937167525,0.18320433795452118,0.1831735223531723
2x,-0.5,0.5,0.0,0.0,1.0979129001498222e-05,0.18317310512065887,0.18317002058029175
2x,-0.5,0.5,0.0,0.0,9.149398465524428e-06,0.18316856026649475,0.1831703633069992
2x,-0.5,0.5,0.0,0.0,4.144413469475694e-05,0.18316428363323212,0.18316929042339325
2x,-0.5,0.5,0.0,0.0,8.74085981195094e-06,0.1831706017255783,0.18316993117332458
2x,-0.5,0.5,0.0,0.0,1.175904708361486e-05,0.18316929042339325,0.1831701546907425
2x,-0.5,0.5,0.0,0.0,8.500193871441297e-06,0.1831715852022171,0.1831696629524231
2x,-0.5,0.5,0.0,0.0,8.458348929707427e-06,0.18317018449306488,0.18316954374313354
2x,-0.5,0.5,0.0,0.0,3.44573927577585e-05,0.18317589163780212,0.18316861987113953
2x,-0.5,0.5,0.0,0.0,4.788273599842796e-06,0.18316815793514252,0.18317018449306488
2x,-0.5,0.5,0.0,0.0,9.46434465731727e-06,0.1831701546907425,0.18317057192325592
2x,-0.5,0.5,0.0,0.0,7.779557563480921e-06,0.18316985666751862,0.18316975235939026
2x,-0.5,0.5,0.0,0.0,1.1547261237865314e-05,0.183169424533844,0.1831691861152649
2x,-0.5,0.5,0.0,0.0,1.2169459296273999e-05,0.1831718236207962,0.18316996097564697
2x,-0.5,0.5,0.0,0.0,1.2701682862825692e-05,0.18316954374313354,0.1831703931093216
2x,-0.5,0.5,0.0,0.0,1.2418909136613365e-05,0.183172807097435,0.18317194283008575
2x,-0.5,0.5,0.0,0.0,2.3231950763147324e-05,0.18316799402236938,0.1831696778535843
2x,-0.5,0.5,0.0,0.0,5.748901457991451e-05,0.18317024409770966,0.18316979706287384
2x,-0.5,0.5,0.0,0.0,4.002450077678077e-05,0.18316948413848877,0.18316926062107086
2x,-0.5,0.5,0.0,0.0,2.5174276743200608e-05,0.18317119777202606,0.18316932022571564
2x,-0.5,0.5,0.0,0.0,9.651384061726276e-06,0.18316830694675446,0.1831704080104828
2x,-0.5,0.5,0.0,0.0,1.5381579942186363e-05,0.18316899240016937,0.18317009508609772
2x,-0.5,0.5,0.0,0.0,1.3939743439550512e-05,0.18316975235939026,0.1831704080104828
2x,-0.5,0.5,0.0,0.0,6.039142135705333e-06,0.1831687092781067,0.1831710785627365
2x,-0.5,0.5,0.0,0.0,1.4374963939189911e-05,0.18316806852817535,0.18317128717899323
2x,-0.5,0.5,0.0,0.0,7.354960689553991e-05,0.18317756056785583,0.1831704080104828
2x,-0.5,0.5,0.0,0.0,1.4613961866416503e-05,0.18316616117954254,0.18316958844661713
2x,-0.5,0.5,0.0,0.0,4.729223292088136e-06,0.18316757678985596,0.18317018449306488
2x,-0.5,0.5,0.0,0.0,1.0461832061992027e-05,0.1831679493188858,0.1831691712141037
2x,-0.5,0.5,0.0,0.0,4.9010536713467445e-06,0.18316824734210968,0.18316997587680817
2x,-0.5,0.5,0.0,0.0,7.358985021710396e-05,0.18316861987113953,0.183170884847641
2x,-0.5,0.5,0.0,0.0,4.1163377318298444e-05,0.18316827714443207,0.18317052721977234
2x,-0.5,0.5,0.0,0.0,4.496607743931236e-06,0.18316802382469177,0.18316997587680817
2x,-0.5,0.5,0.0,0.0,1.9735154637601227e-05,0.18316492438316345,0.18316993117332458
2x,-0.5,0.5,0.0,0.0,1.3983783901494462e-05,0.18317100405693054,0.183169424533844
2x,-0.5,0.5,0.0,0.0,3.1348095944849774e-05,0.18316881358623505,0.18316935002803802
2x,-0.5,0.5,0.0,0.0,2.0029070583404973e-05,0.18316489458084106,0.18317003548145294
2x,-0.5,0.5,0.0,0.0,1.1446628377598245e-05,0.1831716001033783,0.1831704080104828
2x,-0.5,0.5,0.0,0.0,1.0004143405240029e-05,0.18316999077796936,0.18316981196403503
2x,-0.5,0.5,0.0,0.0,2.625758497742936e-05,0.18316978216171265,0.18317073583602905
2x,-0.5,0.5,0.0,0.0,1.1865715350722894e-05,0.18317008018493652,0.1831696778535843
2x,-0.5,0.5,0.0,0.0,7.88497163739521e-06,0.183170884847641,0.18316997587680817
2x,-0.5,0.5,0.0,0.0,6.328173185465857e-05,0.18318109214305878,0.18316827714443207
2x,-0.5,0.5,0.0,0.0,4.844713112106547e-05,0.18318228423595428,0.18316879868507385
